[2025-09-02 02:54:45] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 02:55:56] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 02:55:56] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781756035892011062134], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:55:57] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781757101960057098021], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:56:00] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781760035891444819212], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:32] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 02:57:32] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781852429393816550493], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:33] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781853317913218275682], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:35] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781855059504253362800], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:39] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781859214403846688183], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:41] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781861123492885191544], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:43] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781863107080480888337], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:47] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781867429393017730824], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:48] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781868591811710309695], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:50] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781870312793306620158], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 02:57:55] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781875338731411223339], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":1,"endpoint":"user\/list"}
[2025-09-02 02:57:56] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781876031421927559472], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":2,"endpoint":"user\/list"}
[2025-09-02 02:57:58] [WeComAPI ERROR] API 请求失败，准备重试: {"error":"API 请求失败: department not found, hint: [1756781878426833789443778], from ip: 183.6.102.143, more info at https:\/\/open.work.weixin.qq.com\/devtool\/query?e=60003 (错误码: 60003)","retry_count":3,"endpoint":"user\/list"}
[2025-09-02 03:01:58] [WeComAPI] 访问令牌刷新成功 {"expires_in":7200,"expires_at":"2025-09-02 05:01:58"}
[2025-09-02 03:01:58] [WeComAPI] 获取部门列表成功 {"department_id":null,"count":73}
[2025-09-02 03:18:20] [WeComAPI] 获取部门成员详情成功 {"department_id":161,"fetch_child":false,"count":5}
[2025-09-02 03:18:20] [WeComAPI] 获取部门成员详情成功 {"department_id":162,"fetch_child":false,"count":0}
[2025-09-02 03:18:21] [WeComAPI] 获取部门成员详情成功 {"department_id":171,"fetch_child":false,"count":5}
[2025-09-02 03:18:22] [WeComAPI] 获取部门成员详情成功 {"department_id":172,"fetch_child":false,"count":4}
[2025-09-02 03:18:22] [WeComAPI] 获取部门成员详情成功 {"department_id":174,"fetch_child":false,"count":0}
[2025-09-02 03:18:23] [WeComAPI] 获取部门成员详情成功 {"department_id":175,"fetch_child":false,"count":5}
[2025-09-02 03:18:23] [WeComAPI] 获取部门成员详情成功 {"department_id":176,"fetch_child":false,"count":10}
[2025-09-02 03:18:24] [WeComAPI] 获取部门成员详情成功 {"department_id":178,"fetch_child":false,"count":1}
[2025-09-02 03:18:24] [WeComAPI] 获取部门成员详情成功 {"department_id":181,"fetch_child":false,"count":4}
[2025-09-02 03:18:25] [WeComAPI] 获取部门成员详情成功 {"department_id":182,"fetch_child":false,"count":1}
[2025-09-02 03:18:25] [WeComAPI] 获取部门成员详情成功 {"department_id":183,"fetch_child":false,"count":1}
[2025-09-02 03:18:26] [WeComAPI] 获取部门成员详情成功 {"department_id":184,"fetch_child":false,"count":1}
[2025-09-02 03:18:27] [WeComAPI] 获取部门成员详情成功 {"department_id":185,"fetch_child":false,"count":4}
[2025-09-02 03:18:27] [WeComAPI] 获取部门成员详情成功 {"department_id":186,"fetch_child":false,"count":6}
[2025-09-02 03:18:28] [WeComAPI] 获取部门成员详情成功 {"department_id":187,"fetch_child":false,"count":1}
[2025-09-02 03:18:28] [WeComAPI] 获取部门成员详情成功 {"department_id":188,"fetch_child":false,"count":3}
[2025-09-02 03:18:29] [WeComAPI] 获取部门成员详情成功 {"department_id":189,"fetch_child":false,"count":2}
[2025-09-02 03:18:29] [WeComAPI] 获取部门成员详情成功 {"department_id":190,"fetch_child":false,"count":3}
[2025-09-02 03:18:30] [WeComAPI] 获取部门成员详情成功 {"department_id":191,"fetch_child":false,"count":1}
[2025-09-02 03:18:30] [WeComAPI] 获取部门成员详情成功 {"department_id":192,"fetch_child":false,"count":2}
[2025-09-02 03:18:31] [WeComAPI] 获取部门成员详情成功 {"department_id":193,"fetch_child":false,"count":1}
[2025-09-02 03:18:31] [WeComAPI] 获取部门成员详情成功 {"department_id":194,"fetch_child":false,"count":1}
[2025-09-02 03:18:32] [WeComAPI] 获取部门成员详情成功 {"department_id":195,"fetch_child":false,"count":3}
[2025-09-02 03:18:33] [WeComAPI] 获取部门成员详情成功 {"department_id":196,"fetch_child":false,"count":2}
[2025-09-02 03:18:33] [WeComAPI] 获取部门成员详情成功 {"department_id":197,"fetch_child":false,"count":1}
[2025-09-02 03:18:34] [WeComAPI] 获取部门成员详情成功 {"department_id":198,"fetch_child":false,"count":1}
[2025-09-02 03:18:34] [WeComAPI] 获取部门成员详情成功 {"department_id":199,"fetch_child":false,"count":7}
[2025-09-02 03:18:35] [WeComAPI] 获取部门成员详情成功 {"department_id":200,"fetch_child":false,"count":1}
[2025-09-02 03:18:35] [WeComAPI] 获取部门成员详情成功 {"department_id":201,"fetch_child":false,"count":1}
[2025-09-02 03:18:36] [WeComAPI] 获取部门成员详情成功 {"department_id":202,"fetch_child":false,"count":6}
[2025-09-02 03:18:36] [WeComAPI] 获取部门成员详情成功 {"department_id":203,"fetch_child":false,"count":4}
[2025-09-02 03:18:37] [WeComAPI] 获取部门成员详情成功 {"department_id":204,"fetch_child":false,"count":3}
[2025-09-02 03:18:37] [WeComAPI] 获取部门成员详情成功 {"department_id":205,"fetch_child":false,"count":8}
[2025-09-02 03:18:38] [WeComAPI] 获取部门成员详情成功 {"department_id":206,"fetch_child":false,"count":10}
[2025-09-02 03:18:39] [WeComAPI] 获取部门成员详情成功 {"department_id":207,"fetch_child":false,"count":7}
[2025-09-02 03:18:39] [WeComAPI] 获取部门成员详情成功 {"department_id":208,"fetch_child":false,"count":2}
[2025-09-02 03:18:39] [WeComAPI] 全量组织架构获取完成 {"departments_count":73,"users_count":170,"duration_ms":40314}
[2025-09-02 03:54:59] [WeComAPI] 开始获取全量组织架构 {"root_department_id":1}
[2025-09-02 03:54:59] [WeComAPI] 获取部门列表成功 {"department_id":1,"count":73}
[2025-09-02 03:54:59] [WeComAPI] 获取部门成员详情成功 {"department_id":1,"fetch_child":false,"count":0}
[2025-09-02 03:55:00] [WeComAPI] 获取部门成员详情成功 {"department_id":3,"fetch_child":false,"count":1}
[2025-09-02 03:55:00] [WeComAPI] 获取部门成员详情成功 {"department_id":8,"fetch_child":false,"count":3}
[2025-09-02 03:55:01] [WeComAPI] 获取部门成员详情成功 {"department_id":16,"fetch_child":false,"count":3}
[2025-09-02 03:55:02] [WeComAPI] 获取部门成员详情成功 {"department_id":25,"fetch_child":false,"count":2}
[2025-09-02 03:55:02] [WeComAPI] 获取部门成员详情成功 {"department_id":31,"fetch_child":false,"count":1}
[2025-09-02 03:55:03] [WeComAPI] 获取部门成员详情成功 {"department_id":32,"fetch_child":false,"count":3}
[2025-09-02 03:55:03] [WeComAPI] 获取部门成员详情成功 {"department_id":33,"fetch_child":false,"count":5}
[2025-09-02 03:55:04] [WeComAPI] 获取部门成员详情成功 {"department_id":37,"fetch_child":false,"count":1}
[2025-09-02 03:55:04] [WeComAPI] 获取部门成员详情成功 {"department_id":76,"fetch_child":false,"count":2}
[2025-09-02 03:55:05] [WeComAPI] 获取部门成员详情成功 {"department_id":82,"fetch_child":false,"count":1}
[2025-09-02 03:55:05] [WeComAPI] 获取部门成员详情成功 {"department_id":83,"fetch_child":false,"count":5}
[2025-09-02 03:55:06] [WeComAPI] 获取部门成员详情成功 {"department_id":102,"fetch_child":false,"count":0}
[2025-09-02 03:55:06] [WeComAPI] 获取部门成员详情成功 {"department_id":107,"fetch_child":false,"count":2}
[2025-09-02 03:55:07] [WeComAPI] 获取部门成员详情成功 {"department_id":108,"fetch_child":false,"count":2}
[2025-09-02 03:55:08] [WeComAPI] 获取部门成员详情成功 {"department_id":109,"fetch_child":false,"count":1}
[2025-09-02 03:55:08] [WeComAPI] 获取部门成员详情成功 {"department_id":111,"fetch_child":false,"count":1}
[2025-09-02 03:55:09] [WeComAPI] 获取部门成员详情成功 {"department_id":120,"fetch_child":false,"count":1}
[2025-09-02 03:55:09] [WeComAPI] 获取部门成员详情成功 {"department_id":123,"fetch_child":false,"count":9}
[2025-09-02 03:55:10] [WeComAPI] 获取部门成员详情成功 {"department_id":124,"fetch_child":false,"count":8}
[2025-09-02 03:55:10] [WeComAPI] 获取部门成员详情成功 {"department_id":128,"fetch_child":false,"count":2}
[2025-09-02 03:55:11] [WeComAPI] 获取部门成员详情成功 {"department_id":130,"fetch_child":false,"count":2}
[2025-09-02 03:55:11] [WeComAPI] 获取部门成员详情成功 {"department_id":131,"fetch_child":false,"count":0}
[2025-09-02 03:55:12] [WeComAPI] 获取部门成员详情成功 {"department_id":135,"fetch_child":false,"count":0}
[2025-09-02 03:55:12] [WeComAPI] 获取部门成员详情成功 {"department_id":140,"fetch_child":false,"count":2}
[2025-09-02 03:55:13] [WeComAPI] 获取部门成员详情成功 {"department_id":141,"fetch_child":false,"count":1}
[2025-09-02 03:55:14] [WeComAPI] 获取部门成员详情成功 {"department_id":142,"fetch_child":false,"count":1}
[2025-09-02 03:55:14] [WeComAPI] 获取部门成员详情成功 {"department_id":144,"fetch_child":false,"count":2}
[2025-09-02 03:55:15] [WeComAPI] 获取部门成员详情成功 {"department_id":146,"fetch_child":false,"count":3}
[2025-09-02 03:55:16] [WeComAPI] 获取部门成员详情成功 {"department_id":147,"fetch_child":false,"count":2}
[2025-09-02 03:55:16] [WeComAPI] 获取部门成员详情成功 {"department_id":149,"fetch_child":false,"count":4}
[2025-09-02 03:55:17] [WeComAPI] 获取部门成员详情成功 {"department_id":150,"fetch_child":false,"count":2}
[2025-09-02 03:55:17] [WeComAPI] 获取部门成员详情成功 {"department_id":151,"fetch_child":false,"count":3}
[2025-09-02 03:55:18] [WeComAPI] 获取部门成员详情成功 {"department_id":153,"fetch_child":false,"count":6}
[2025-09-02 03:55:18] [WeComAPI] 获取部门成员详情成功 {"department_id":158,"fetch_child":false,"count":0}
[2025-09-02 03:55:19] [WeComAPI] 获取部门成员详情成功 {"department_id":159,"fetch_child":false,"count":0}
[2025-09-02 03:55:19] [WeComAPI] 获取部门成员详情成功 {"department_id":160,"fetch_child":false,"count":4}
[2025-09-02 03:55:20] [WeComAPI] 获取部门成员详情成功 {"department_id":161,"fetch_child":false,"count":5}
[2025-09-02 03:55:20] [WeComAPI] 获取部门成员详情成功 {"department_id":162,"fetch_child":false,"count":0}
[2025-09-02 03:55:21] [WeComAPI] 获取部门成员详情成功 {"department_id":171,"fetch_child":false,"count":5}
[2025-09-02 03:55:22] [WeComAPI] 获取部门成员详情成功 {"department_id":172,"fetch_child":false,"count":4}
[2025-09-02 03:55:22] [WeComAPI] 获取部门成员详情成功 {"department_id":174,"fetch_child":false,"count":0}
[2025-09-02 03:55:22] [WeComAPI] 获取部门成员详情成功 {"department_id":175,"fetch_child":false,"count":5}
[2025-09-02 03:55:23] [WeComAPI] 获取部门成员详情成功 {"department_id":176,"fetch_child":false,"count":10}
[2025-09-02 03:55:24] [WeComAPI] 获取部门成员详情成功 {"department_id":178,"fetch_child":false,"count":1}
[2025-09-02 03:55:24] [WeComAPI] 获取部门成员详情成功 {"department_id":181,"fetch_child":false,"count":4}
[2025-09-02 03:55:25] [WeComAPI] 获取部门成员详情成功 {"department_id":182,"fetch_child":false,"count":1}
[2025-09-02 03:55:26] [WeComAPI] 获取部门成员详情成功 {"department_id":183,"fetch_child":false,"count":1}
[2025-09-02 03:55:26] [WeComAPI] 获取部门成员详情成功 {"department_id":184,"fetch_child":false,"count":1}
[2025-09-02 03:55:27] [WeComAPI] 获取部门成员详情成功 {"department_id":185,"fetch_child":false,"count":4}
[2025-09-02 03:55:27] [WeComAPI] 获取部门成员详情成功 {"department_id":186,"fetch_child":false,"count":6}
[2025-09-02 03:55:28] [WeComAPI] 获取部门成员详情成功 {"department_id":187,"fetch_child":false,"count":1}
[2025-09-02 03:55:29] [WeComAPI] 获取部门成员详情成功 {"department_id":188,"fetch_child":false,"count":3}
[2025-09-02 03:55:29] [WeComAPI] 获取部门成员详情成功 {"department_id":189,"fetch_child":false,"count":2}
[2025-09-02 03:55:30] [WeComAPI] 获取部门成员详情成功 {"department_id":190,"fetch_child":false,"count":3}
[2025-09-02 03:55:30] [WeComAPI] 获取部门成员详情成功 {"department_id":191,"fetch_child":false,"count":1}
[2025-09-02 03:55:31] [WeComAPI] 获取部门成员详情成功 {"department_id":192,"fetch_child":false,"count":2}
[2025-09-02 03:55:32] [WeComAPI] 获取部门成员详情成功 {"department_id":193,"fetch_child":false,"count":1}
[2025-09-02 03:55:32] [WeComAPI] 获取部门成员详情成功 {"department_id":194,"fetch_child":false,"count":1}
[2025-09-02 03:55:33] [WeComAPI] 获取部门成员详情成功 {"department_id":195,"fetch_child":false,"count":3}
[2025-09-02 03:55:33] [WeComAPI] 获取部门成员详情成功 {"department_id":196,"fetch_child":false,"count":2}
[2025-09-02 03:55:34] [WeComAPI] 获取部门成员详情成功 {"department_id":197,"fetch_child":false,"count":1}
[2025-09-02 03:55:34] [WeComAPI] 获取部门成员详情成功 {"department_id":198,"fetch_child":false,"count":1}
[2025-09-02 03:55:35] [WeComAPI] 获取部门成员详情成功 {"department_id":199,"fetch_child":false,"count":7}
[2025-09-02 03:55:36] [WeComAPI] 获取部门成员详情成功 {"department_id":200,"fetch_child":false,"count":1}
[2025-09-02 03:55:36] [WeComAPI] 获取部门成员详情成功 {"department_id":201,"fetch_child":false,"count":1}
[2025-09-02 03:55:37] [WeComAPI] 获取部门成员详情成功 {"department_id":202,"fetch_child":false,"count":6}
[2025-09-02 03:55:37] [WeComAPI] 获取部门成员详情成功 {"department_id":203,"fetch_child":false,"count":4}
[2025-09-02 03:55:38] [WeComAPI] 获取部门成员详情成功 {"department_id":204,"fetch_child":false,"count":3}
[2025-09-02 03:55:38] [WeComAPI] 获取部门成员详情成功 {"department_id":205,"fetch_child":false,"count":8}
[2025-09-02 03:55:39] [WeComAPI] 获取部门成员详情成功 {"department_id":206,"fetch_child":false,"count":10}
[2025-09-02 03:55:40] [WeComAPI] 获取部门成员详情成功 {"department_id":207,"fetch_child":false,"count":7}
[2025-09-02 03:55:40] [WeComAPI] 获取部门成员详情成功 {"department_id":208,"fetch_child":false,"count":2}
[2025-09-02 03:55:40] [WeComAPI] 全量组织架构获取完成 {"departments_count":73,"users_count":170,"duration_ms":41684}
[2025-09-02 06:12:14] [WeComAPI] 开始获取全量组织架构 {"root_department_id":1}
[2025-09-02 06:12:14] [WeComAPI] 访问令牌刷新成功 {"expires_in":7200,"expires_at":"2025-09-02 08:12:14"}
[2025-09-02 06:12:14] [WeComAPI] 获取部门列表成功 {"department_id":1,"count":73}
[2025-09-02 06:12:15] [WeComAPI] 获取部门成员详情成功 {"department_id":1,"fetch_child":false,"count":0}
